id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,420,119,0.25,0.015635264748390488,644,63,Navigation Menu
1,1070,118,0.6369047619047619,0.015503875968992248,216,63,Input field
2,606,1408,0.3607142857142857,0.18499540139272105,811,192,Text
3,488,1717,0.2904761904761905,0.22559453422677703,226,226,Image
4,718,2122,0.42738095238095236,0.27880698988306396,229,228,Image
5,486,5081,0.2892857142857143,0.6675863881224543,347,516,Image
6,263,7134,0.15654761904761905,0.9373275522270398,1150,17,Line
7,1277,7149,0.7601190476190476,0.9392983839180133,25,24,Icon
8,1330,7148,0.7916666666666666,0.9391669951386151,24,23,Icon
9,687,7242,0.4089285714285714,0.9515175404020496,689,233,Form
10,708,7268,0.42142857142857143,0.9549336486664038,645,97,Input field
11,705,7368,0.41964285714285715,0.9680725266062278,650,33,Input field
12,705,7405,0.41964285714285715,0.9729339114439627,325,29,Input field
13,1037,7404,0.6172619047619048,0.9728025226645645,318,28,Input field
14,1035,7426,0.6160714285714286,0.9756930758113257,319,42,Button
15,796,7472,0.4738095238095238,0.9817369596636447,92,70,Button
16,623,6931,0.37083333333333335,0.9106556300091972,544,122,Text
