id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,342,253,0.20357142857142857,0.016147561909624714,985,53,Navigation Menu
1,1126,1,0.6702380952380952,0.00006382435537401073,200,45,Input field
2,1015,328,0.6041666666666666,0.020934388562675516,307,301,Image
3,352,2829,0.20952380952380953,0.18055910135307635,633,75,Text
4,355,4491,0.2113095238095238,0.28663517998468213,641,432,Image
5,532,270,0.31666666666666665,0.017232575950982897,67,21,Text
6,941,268,0.5601190476190476,0.017104927240234873,67,24,Text
7,1264,917,0.7523809523809524,0.058526933877967834,58,52,Icon
8,1068,919,0.6357142857142857,0.05865458258871585,51,52,Icon
9,1169,919,0.6958333333333333,0.05865458258871585,49,53,Icon
10,1029,1164,0.6125,0.07429154965534848,204,50,Input field
11,1231,1167,0.7327380952380952,0.07448302272147052,78,45,Button
12,1027,1162,0.6113095238095239,0.07416390094460046,282,53,Form
13,353,9344,0.21011904761904762,0.5963747766147562,641,18,Line
14,353,9840,0.21011904761904762,0.6280316568802655,645,16,Line
15,356,7022,0.2119047619047619,0.4481746234363033,560,831,Image
