id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,382,261,0.22738095238095238,0.047758462946020125,915,57,Navigation Menu
1,1070,743,0.6369047619047619,0.13595608417200367,119,29,Input field
2,1186,744,0.705952380952381,0.1361390667886551,41,27,Button
3,1266,690,0.7535714285714286,0.1262580054894785,28,25,Icon
4,1208,689,0.719047619047619,0.12607502287282707,25,27,Icon
5,1237,689,0.7363095238095239,0.12607502287282707,26,26,Icon
6,1067,933,0.6351190476190476,0.1707227813357731,221,26,Input field
7,1065,967,0.6339285714285714,0.17694419030192132,73,33,Button
8,1062,926,0.6321428571428571,0.16944190301921316,238,80,Form
9,1062,736,0.6321428571428571,0.13467520585544374,171,45,Form
10,510,1605,0.30357142857142855,0.2936870997255261,73,27,Button
11,509,1643,0.30297619047619045,0.30064043915828,69,36,Button
12,823,1603,0.48988095238095236,0.29332113449222325,46,33,Button
13,508,1731,0.30238095238095236,0.3167429094236048,516,396,Text
14,1062,1975,0.6321428571428571,0.3613906678865508,242,452,List
15,734,342,0.4369047619047619,0.06258005489478499,310,294,Image
16,749,427,0.44583333333333336,0.07813357731015554,210,124,Text
