id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,246,1,0.14642857142857144,0.00004805843906189927,790,46,Navigation Menu
1,1202,12,0.7154761904761905,0.0005767012687427913,18,25,Icon
2,1321,13,0.7863095238095238,0.0006247597078046905,26,26,Icon
3,1392,10,0.8285714285714286,0.0004805843906189927,32,30,Icon
4,1105,253,0.6577380952380952,0.012158785082660516,319,109,Image
5,1311,303,0.7803571428571429,0.014561707035755479,96,20,Text
6,1111,567,0.6613095238095238,0.027249134948096887,310,110,Image
7,1314,603,0.7821428571428571,0.02897923875432526,93,38,Text
8,282,979,0.16785714285714284,0.04704921184159939,740,97,Text
9,1109,1854,0.6601190476190476,0.08910034602076125,312,611,Image
10,1219,2415,0.7255952380952381,0.11606113033448674,91,29,Text
11,1187,1873,0.7065476190476191,0.09001345636293734,153,28,Text
12,288,2627,0.17142857142857143,0.12624951941560938,158,42,Button
13,1105,3447,0.6577380952380952,0.1656574394463668,320,202,Form
14,1149,3509,0.6839285714285714,0.16863706266820452,232,47,Input field
15,1200,3569,0.7142857142857143,0.1715205690119185,128,46,Button
16,1173,3468,0.6982142857142857,0.16666666666666666,180,24,Text
17,1125,2513,0.6696428571428571,0.12077085736255286,285,288,List
18,484,10,0.28809523809523807,0.0004805843906189927,128,27,Text
