id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,268,164,0.1595238095238095,0.018199977804905117,1043,35,Navigation Menu
1,279,215,0.16607142857142856,0.023859727000332925,886,41,Navigation Menu
2,753,102,0.44821428571428573,0.011319498390855621,281,46,Input field
3,1038,101,0.6178571428571429,0.011208522916435468,75,47,Button
4,262,1079,0.15595238095238095,0.11974253689934525,560,292,Text
5,273,1405,0.1625,0.15592054156031518,226,296,Image
6,644,1404,0.38333333333333336,0.15580956608589502,172,296,Image
7,501,1405,0.2982142857142857,0.15592054156031518,138,297,Image
8,298,1997,0.1773809523809524,0.22161802241704584,493,278,Image
9,270,2284,0.16071428571428573,0.2534679835756298,552,248,Text
10,272,1786,0.1619047619047619,0.1982021973143935,32,36,Icon
11,308,1785,0.18333333333333332,0.19809122183997335,34,36,Icon
12,344,1785,0.20476190476190476,0.19809122183997335,34,38,Icon
13,382,1789,0.22738095238095238,0.19853512373765397,32,36,Icon
14,417,1786,0.24821428571428572,0.1982021973143935,33,39,Icon
15,267,1828,0.15892857142857142,0.20286316724003994,556,13,Line
16,254,3302,0.15119047619047618,0.36644101653534566,576,255,Text
17,255,15,0.15178571428571427,0.001664632116302297,490,133,Image
18,259,375,0.15416666666666667,0.04161580290755743,569,134,Image
19,1088,1028,0.6476190476190476,0.11408278770391743,135,342,List
20,872,388,0.5190476190476191,0.04305848407501942,132,394,List
21,1230,1034,0.7321428571428571,0.11474864055043835,142,336,List
22,1090,787,0.6488095238095238,0.08733769836866052,200,31,Input field
23,1290,787,0.7678571428571429,0.08733769836866052,76,27,Button
24,1087,780,0.6470238095238096,0.08656087004771945,286,42,Form
25,266,4576,0.15833333333333333,0.5078237709466208,516,296,Video
