id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,356,116,0.2119047619047619,0.023107569721115537,587,47,Navigation Menu
1,1091,126,0.6494047619047619,0.0250996015936255,172,34,Input field
2,1260,127,0.75,0.025298804780876493,54,32,Button
3,516,208,0.30714285714285716,0.04143426294820717,643,44,Text
4,396,296,0.2357142857142857,0.05896414342629482,884,304,Image
5,918,336,0.5464285714285714,0.06693227091633466,318,86,Text
6,877,481,0.5220238095238096,0.09581673306772909,394,89,Text
7,989,762,0.5886904761904762,0.15179282868525895,311,164,Form
8,1007,848,0.5994047619047619,0.16892430278884463,174,42,Input field
9,1179,851,0.7017857142857142,0.1695219123505976,100,40,Button
10,1001,771,0.5958333333333333,0.15358565737051794,275,79,Text
11,1002,888,0.5964285714285714,0.17689243027888446,176,20,Text
12,988,1050,0.5880952380952381,0.20916334661354583,325,409,List
13,387,1727,0.23035714285714284,0.3440239043824701,156,154,Icon
14,385,1922,0.22916666666666666,0.38286852589641435,157,157,Image
15,386,2123,0.22976190476190475,0.42290836653386454,157,158,Image
16,377,2895,0.2244047619047619,0.5766932270916335,597,21,Line
17,383,2089,0.22797619047619047,0.41613545816733066,587,22,Line
18,990,1545,0.5892857142857143,0.30776892430278885,311,17,Line
19,547,1778,0.3255952380952381,0.3541832669322709,428,90,Text
20,1003,1003,0.5970238095238095,0.199800796812749,147,28,Button
21,997,921,0.593452380952381,0.18346613545816734,49,31,Button
