id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,276,340,0.16428571428571428,0.08881922675026123,37,25,Icon
1,658,412,0.39166666666666666,0.10762800417972831,402,33,Text
2,642,774,0.3821428571428571,0.20219435736677116,438,69,Text
3,725,1332,0.43154761904761907,0.34796238244514105,181,53,Button
4,711,1144,0.4232142857142857,0.2988505747126437,306,259,Image
5,1115,1825,0.6636904761904762,0.47675026123301983,259,31,Input field
6,1116,1862,0.6642857142857143,0.4864158829676071,60,38,Button
7,1111,1815,0.6613095238095238,0.47413793103448276,267,92,Form
8,519,675,0.30892857142857144,0.17633228840125392,570,16,Line
9,282,677,0.16785714285714284,0.17685475444096133,223,14,Line
10,514,2812,0.305952380952381,0.7345872518286312,575,20,Line
11,1112,2831,0.6619047619047619,0.7395506792058516,229,39,Button
12,564,3593,0.3357142857142857,0.9386102403343782,275,50,Input field
13,562,3565,0.3345238095238095,0.9312957157784744,80,25,Text
14,681,3439,0.40535714285714286,0.898380355276907,250,48,Button
15,1355,279,0.8065476190476191,0.07288401253918496,39,29,Icon
16,4,3,0.002380952380952381,0.0007836990595611285,31,35,Icon
