id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,467,495,0.2779761904761905,0.01419599070807881,771,62,Navigation Menu
1,479,512,0.2851190476190476,0.014683529782901718,69,23,Text
2,857,515,0.5101190476190476,0.014769566090223408,69,21,Text
3,1110,511,0.6607142857142857,0.014654851013794488,32,31,Icon
4,1147,513,0.6827380952380953,0.014712208552008948,33,28,Icon
5,1190,509,0.7083333333333334,0.014597493475580028,28,31,Icon
6,495,625,0.29464285714285715,0.0179242306920187,696,53,Text
7,436,692,0.25952380952380955,0.019845708222203103,809,538,Image
8,434,2606,0.25833333333333336,0.07473687229344117,813,460,Video
9,428,3128,0.25476190476190474,0.08970718976741518,827,142,Text
10,433,4570,0.2577380952380952,0.13106197482004073,815,550,Image
