id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,376,160,0.22380952380952382,0.0040705217900119574,726,486,Image
1,1124,349,0.669047619047619,0.008878825654463582,117,312,List
2,1120,88,0.6666666666666666,0.0022387869845065765,199,77,Form
3,1125,132,0.6696428571428571,0.0033581804767598648,67,27,Button
4,1125,114,0.6696428571428571,0.0029002467753835195,180,20,Input field
5,988,613,0.5880952380952381,0.01559518660798331,97,16,Text
6,375,2181,0.22321428571428573,0.05548630015010049,729,486,Image
7,986,2632,0.5869047619047619,0.06696008344569669,101,21,Text
8,369,3238,0.21964285714285714,0.08237718472536698,131,46,Text
9,375,7138,0.22321428571428573,0.18159615335690843,676,33,Text
10,1242,989,0.7392857142857143,0.02516091281451141,49,25,Button
