id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,347,1,0.20654761904761904,0.00008485362749257531,310,39,Form
1,435,10,0.25892857142857145,0.0008485362749257531,162,25,Input field
2,595,7,0.3541666666666667,0.0005939753924480272,54,32,Button
3,922,1,0.5488095238095239,0.00008485362749257531,411,40,Navigation Menu
4,1014,9,0.6035714285714285,0.0007636826474331777,55,25,Text
5,1153,5,0.6863095238095238,0.00042426813746287653,59,31,Text
6,1238,185,0.736904761904762,0.015697921086126432,86,33,Button
7,348,180,0.20714285714285716,0.015273652948663556,838,83,Navigation Menu
8,923,187,0.549404761904762,0.01586762834111158,124,27,Input field
9,1051,189,0.6255952380952381,0.016037335596096734,125,26,Input field
10,355,857,0.2113095238095238,0.07271955876113703,627,261,Text
11,354,1230,0.21071428571428572,0.10436996181586763,620,12,Line
12,998,1775,0.594047619047619,0.15061518879932118,325,11,Line
13,373,47,0.2220238095238095,0.003988120492151039,108,118,Icon
14,486,79,0.2892857142857143,0.006703436571913449,225,51,Text
