id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,544,188,0.3238095238095238,0.030220221829287897,573,17,Line
1,342,413,0.20357142857142857,0.06638804050795692,42,39,Icon
2,386,413,0.22976190476190475,0.06638804050795692,42,41,Button
3,515,412,0.30654761904761907,0.06622729464716283,39,39,Icon
4,601,412,0.35773809523809524,0.06622729464716283,40,42,Icon
5,417,0,0.24821428571428572,0,819,50,Navigation Menu
6,599,13,0.35654761904761906,0.002089696190323099,158,19,Text
7,842,14,0.5011904761904762,0.002250442051117184,95,23,Text
8,335,1004,0.19940476190476192,0.16138884423726088,353,222,Form
9,357,1113,0.2125,0.1789101430638161,311,41,Input field
10,358,1156,0.2130952380952381,0.18582221507796173,308,42,Button
11,407,1067,0.24226190476190476,0.17151583346728821,213,28,Text
12,336,2675,0.2,0.42999517762417616,354,353,Image
13,337,2575,0.2005952380952381,0.41392059154476774,274,32,Input field
14,609,2575,0.3625,0.41392059154476774,70,33,Button
15,735,2661,0.4375,0.427744735573059,595,59,Text
