id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,209,375,0.12315851502651738,0.015284287752190748,28,28,Icon
1,336,375,0.1979964643488509,0.015284287752190748,29,30,Icon
2,994,107,0.5857395403653506,0.004361116771958427,503,48,Navigation Menu
3,1149,121,0.6770771950500883,0.004931730181373548,48,22,Text
4,1325,121,0.7807896287566294,0.004931730181373548,59,21,Text
5,175,1435,0.10312315851502651,0.05848787446504993,287,53,Input field
6,169,2000,0.0995875073659399,0.08151620134501732,300,209,Form
7,176,2051,0.10371243370654096,0.08359486447931526,260,35,Input field
8,177,2085,0.10430170889805539,0.08498063990218056,259,38,Input field
9,177,2123,0.10430170889805539,0.08652944772773588,260,38,Input field
10,171,2258,0.10076605774896877,0.09203179131852456,298,229,List
11,178,2283,0.10489098408956983,0.09305074383533728,284,19,Line
12,173,2537,0.10194460813199764,0.10340330140615447,295,15,Line
13,571,2699,0.33647613435474366,0.11000611371510087,759,75,Text
14,187,5113,0.11019446081319977,0.20839616873853678,266,261,Image
15,213,5199,0.12551561579257514,0.21190136539637253,214,59,Text
16,207,5266,0.12197996464348851,0.2146321581414306,228,20,Text
17,267,5337,0.15733647613435475,0.21752598328917871,104,21,Text
18,174,5490,0.10253388332351208,0.22376197269207254,290,55,Button
19,176,1408,0.10371243370654096,0.057387405746892196,287,17,Line
