id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,543,254,0.32321428571428573,0.09331373989713446,593,76,Navigation Menu
1,834,446,0.49642857142857144,0.16385011021307863,569,165,Text
2,924,860,0.55,0.31594415870683323,342,124,Form
3,1053,871,0.6267857142857143,0.3199853049228508,163,53,Input field
4,1052,925,0.6261904761904762,0.33982365907421014,93,55,Button
5,949,884,0.5648809523809524,0.3247612049963262,105,26,Text
6,564,1554,0.3357142857142857,0.5709037472446731,271,272,Image
7,953,1934,0.5672619047619047,0.7105069801616458,283,48,Input field
8,1025,1983,0.6101190476190477,0.7285084496693608,126,49,Button
9,1119,2130,0.6660714285714285,0.7825128581925055,218,451,List
