id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,363,215,0.21607142857142858,0.007275311315646995,932,55,Navigation Menu
1,439,230,0.2613095238095238,0.007782891174878181,63,25,Text
2,1006,290,0.5988095238095238,0.009813210611802924,39,37,Icon
3,1114,291,0.6630952380952381,0.009847049269085003,37,36,Icon
4,1186,289,0.705952380952381,0.009779371954520845,37,39,Icon
5,374,422,0.2226190476190476,0.014279913373037358,613,60,Text
6,1000,1062,0.5952380952380952,0.035936654033567945,305,232,Form
7,1100,1197,0.6547619047619048,0.04050487276664862,99,40,Button
8,1073,1151,0.6386904761904761,0.038948294531672985,154,35,Input field
9,1067,1107,0.6351190476190476,0.03745939361126151,165,25,Text
10,1005,1313,0.5982142857142857,0.04443015701136979,185,45,Button
11,1007,1426,0.5994047619047619,0.04825392528424472,202,39,Input field
12,1207,1426,0.718452380952381,0.04825392528424472,76,37,Button
13,382,1474,0.22738095238095238,0.049878180833784515,606,14,Line
14,380,1625,0.2261904761904762,0.05498781808337845,112,13,Line
15,386,1693,0.22976190476190475,0.057288846778559825,96,30,Button
16,391,1696,0.23273809523809524,0.057390362750406064,23,25,Icon
17,560,1691,0.3333333333333333,0.05722116946399567,84,36,Button
18,566,1697,0.33690476190476193,0.05742420140768814,23,23,Icon
19,642,1690,0.3821428571428571,0.057187330806713586,91,36,Button
20,645,1696,0.38392857142857145,0.057390362750406064,23,24,Icon
21,699,1004,0.4160714285714286,0.033974011911207365,285,225,Text
22,1002,3794,0.5964285714285714,0.1283838657282079,298,341,List
