id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1107,613,0.6589285714285714,0.03459563180766409,81,83,Icon
1,1189,696,0.7077380952380953,0.03927986906710311,79,80,Icon
2,1084,795,0.6452380952380953,0.044867091822337606,136,32,Input field
3,1216,795,0.7238095238095238,0.044867091822337606,55,32,Button
4,385,865,0.22916666666666666,0.0488176533664428,643,98,Text
5,387,981,0.23035714285714284,0.055364298210959985,646,512,Image
6,384,3563,0.22857142857142856,0.20108358259495457,442,38,Text
7,382,3235,0.22738095238095238,0.18257237993114736,498,172,List
8,388,250,0.23095238095238096,0.014109148371804279,50,24,Text
9,586,249,0.3488095238095238,0.01405271177831706,179,26,Text
10,373,244,0.2220238095238095,0.013770528810880976,606,37,Navigation Menu
11,359,25,0.21369047619047618,0.0014109148371804277,968,36,Line
12,1112,320,0.6619047619047619,0.018059709915909477,168,226,Image
13,1121,504,0.6672619047619047,0.028444043117557424,152,26,Text
14,1097,562,0.6529761904761905,0.031717365539816016,178,38,Button
15,1087,2106,0.6470238095238096,0.11885546588407923,206,130,Image
16,1092,2166,0.65,0.12224166149331227,104,62,Text
17,1100,2120,0.6547619047619048,0.11964557819290028,48,43,Text
