id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1107,617,0.6589285714285714,0.031028413376917273,80,33,Text
1,1108,655,0.6595238095238095,0.03293940155896404,186,53,Input field
2,1108,936,0.6595238095238095,0.04707065627357304,273,38,Input field
3,1106,985,0.6583333333333333,0.04953482524515967,167,72,Button
4,1101,931,0.6553571428571429,0.04681921046014584,285,137,Form
5,285,617,0.16964285714285715,0.031028413376917273,339,34,Text
6,676,720,0.4023809523809524,0.03620819713351773,379,579,Image
7,1105,1126,0.6577380952380952,0.05662559718380689,286,418,List
8,1096,84,0.6523809523809524,0.004224289665577068,300,41,Navigation Menu
9,280,142,0.16666666666666666,0.0071410611013326625,1114,24,Line
10,284,171,0.16904761904761906,0.00859944681921046,1110,419,Image
11,1101,1746,0.6553571428571429,0.08780487804878048,292,334,List
12,1109,1863,0.6601190476190476,0.09368871008297712,282,16,Line
