id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,393,166,0.23392857142857143,0.005332305419035688,897,266,Image
1,392,624,0.23333333333333334,0.020044328804085958,567,13,Line
2,387,553,0.23035714285714284,0.017763643956185154,250,31,Text
3,391,1102,0.23273809523809524,0.035398798625164624,575,434,Image
4,392,1612,0.23333333333333334,0.05178118274388873,546,96,Text
5,388,2782,0.23095238095238096,0.0893642992515499,518,284,List
6,1010,2862,0.6011904761904762,0.09193408499566348,300,383,List
7,387,3569,0.23035714285714284,0.11464456650926728,44,42,Icon
8,614,3567,0.36547619047619045,0.11458032186566446,37,45,Icon
9,388,3614,0.23095238095238096,0.11609007099033118,70,33,Button
10,388,4087,0.23095238095238096,0.13128392920240275,578,15,Line
11,1013,5462,0.6029761904761904,0.17545212167935498,283,44,Input field
12,384,5831,0.22857142857142856,0.18730525842407889,352,541,List
13,383,446,0.22797619047619047,0.014326555523433234,906,66,Navigation Menu
14,782,469,0.4654761904761905,0.01506536892486589,183,24,Text
15,500,3566,0.2976190476190476,0.11454819954386303,42,43,Icon
