id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,354,176,0.21071428571428572,0.037518652739288,576,45,Navigation Menu
1,543,185,0.32321428571428573,0.03943722020891068,84,28,Text
2,746,187,0.444047619047619,0.0398635685354935,46,24,Text
3,1192,184,0.7095238095238096,0.03922404604561927,22,26,Icon
4,675,79,0.4017857142857143,0.01684075890002132,344,78,Text
5,363,233,0.21607142857142858,0.049669580046898316,955,537,Image
6,655,688,0.3898809523809524,0.14666382434448944,370,38,Text
7,781,657,0.4648809523809524,0.14005542528245576,120,31,Text
8,685,1173,0.40773809523809523,0.25005329354082284,286,83,Text
9,686,2573,0.4083333333333333,0.5484971221487955,307,309,Image
10,1003,2360,0.5970238095238095,0.5030910253677254,315,90,Text
11,362,4297,0.2154761904761905,0.9160093796631849,953,230,Form
12,366,4388,0.21785714285714286,0.935408228522703,430,37,Input field
13,367,4453,0.21845238095238095,0.9492645491366446,432,41,Input field
14,835,4384,0.49702380952380953,0.9345555318695374,431,44,Input field
15,834,4456,0.49642857142857144,0.9499040716265189,102,44,Button
16,1294,184,0.7702380952380953,0.03922404604561927,20,30,Icon
17,685,1805,0.40773809523809523,0.3847793647409934,312,92,Text
