id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,340,172,0.20238095238095238,0.013430155383774497,999,151,Image
1,1195,37,0.7113095238095238,0.0028890450534863744,31,37,Icon
2,1226,36,0.7297619047619047,0.0028109627547434997,30,39,Icon
3,1257,37,0.7482142857142857,0.0028890450534863744,29,37,Icon
4,1287,40,0.7660714285714286,0.0031232919497149996,29,31,Icon
5,1315,39,0.7827380952380952,0.0030452096509721244,31,34,Icon
6,1075,9,0.6398809523809523,0.0007027406886858749,203,28,Input field
7,1278,10,0.7607142857142857,0.0007808229874287499,68,26,Button
8,1118,98,0.6654761904761904,0.007652065276801749,86,26,Text
9,968,98,0.5761904761904761,0.007652065276801749,120,25,Text
10,870,100,0.5178571428571429,0.007808229874287499,68,23,Text
11,675,98,0.4017857142857143,0.007652065276801749,165,25,Text
12,602,100,0.35833333333333334,0.007808229874287499,48,23,Text
13,425,98,0.25297619047619047,0.007652065276801749,146,26,Text
14,355,99,0.2113095238095238,0.007730147575544624,41,25,Text
15,348,94,0.20714285714285716,0.007339736081830249,864,34,Navigation Menu
16,1053,392,0.6267857142857143,0.030608261107206994,225,28,Input field
17,1052,421,0.6261904761904762,0.03287264777075037,226,25,Input field
18,357,364,0.2125,0.028421956742406496,260,32,Text
19,357,396,0.2125,0.030920590302178495,169,22,Text
20,358,428,0.2130952380952381,0.033419223861950495,646,168,Text
21,355,595,0.2113095238095238,0.04645534041224235,649,863,Image
22,1050,888,0.625,0.0693316677076827,280,369,Image
23,1052,446,0.6261904761904762,0.03482470523932225,90,24,Button
24,1051,390,0.6255952380952381,0.030452096509721246,230,82,Form
25,1052,548,0.6261904761904762,0.04278909971109549,278,342,Image
26,885,2302,0.5267857142857143,0.17974545170609824,118,23,Button
27,688,2302,0.4095238095238095,0.17974545170609824,67,25,Button
28,338,2288,0.2011904761904762,0.178652299523698,686,11,Line
29,1050,1254,0.625,0.09791520262356523,282,413,Image
30,372,11413,0.22142857142857142,0.8911532755524323,606,169,List
