id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,457,124,0.2720238095238095,0.05301410859341599,572,57,Text
1,456,219,0.2714285714285714,0.09362975630611373,359,233,Image
2,827,240,0.4922619047619048,0.10260795211628901,316,98,Text
3,828,371,0.4928571428571429,0.1586147926464301,384,106,Text
4,509,32,0.30297619047619045,0.013681060282171868,113,37,Text
5,644,31,0.38333333333333336,0.013253527148353997,138,34,Text
6,808,32,0.48095238095238096,0.013681060282171868,105,31,Text
7,939,31,0.5589285714285714,0.013253527148353997,206,37,Text
8,497,24,0.29583333333333334,0.010260795211628902,656,52,Navigation Menu
9,260,18,0.15476190476190477,0.007695596408721676,219,66,Image
10,265,123,0.15773809523809523,0.05258657545959812,165,108,List
11,1165,22,0.6934523809523809,0.00940572894399316,94,50,Button
12,1267,19,0.7541666666666667,0.008123129542539546,89,56,Button
13,1376,31,0.819047619047619,0.013253527148353997,38,37,Icon
14,458,1317,0.2726190476190476,0.563061137238136,115,45,Button
15,574,1317,0.3416666666666667,0.563061137238136,97,45,Button
16,673,1316,0.4005952380952381,0.5626336041043181,91,47,Button
17,273,1406,0.1625,0.6011115861479265,244,37,Text
18,274,1468,0.1630952380952381,0.6276186404446344,83,55,Image
19,549,1464,0.3267857142857143,0.6259085079093629,87,62,Image
20,827,1466,0.4922619047619048,0.6267635741769987,85,59,Image
21,829,1532,0.493452380952381,0.6549807610089782,203,27,Text
22,828,1560,0.4928571428571429,0.6669516887558786,215,56,Text
23,275,1704,0.1636904761904762,0.728516460025652,244,43,Input field
24,525,1700,0.3125,0.7268063274903805,139,46,Button
25,272,1700,0.1619047619047619,0.7268063274903805,394,48,Form
26,270,1676,0.16071428571428573,0.7165455322787516,157,22,Text
27,695,1711,0.41369047619047616,0.7315091919623771,39,36,Icon
28,737,1710,0.4386904761904762,0.7310816588285592,40,37,Icon
29,781,1708,0.4648809523809524,0.7302265925609235,41,41,Icon
30,825,1708,0.49107142857142855,0.7302265925609235,41,41,Icon
31,867,1706,0.5160714285714286,0.7293715262932877,42,40,Icon
32,911,1706,0.5422619047619047,0.7293715262932877,44,44,Icon
33,959,1707,0.5708333333333333,0.7297990594271055,37,41,Icon
34,1030,1702,0.6130952380952381,0.7276613937580162,174,45,Input field
35,1209,1702,0.7196428571428571,0.7276613937580162,154,44,Button
36,1028,1699,0.611904761904762,0.7263787943565626,340,51,Form
37,498,1816,0.29642857142857143,0.7764001710132535,114,122,List
38,655,1815,0.3898809523809524,0.7759726378794357,106,144,List
39,813,1815,0.48392857142857143,0.7759726378794357,150,147,List
40,1134,1852,0.675,0.7917913638306969,58,94,Image
41,1203,1859,0.7160714285714286,0.7947840957674219,81,75,Image
42,1293,1854,0.7696428571428572,0.7926464300983326,81,80,Image
43,267,2070,0.15892857142857142,0.8849935870029927,1067,25,List
