id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1006,1058,0.5988095238095238,0.060188872454204116,217,624,List
1,684,1073,0.40714285714285714,0.06104221185572875,308,333,Image
2,686,1376,0.4083333333333333,0.07827966776652634,90,26,Text
3,1014,630,0.6035714285714285,0.03584025486403459,310,13,Line
4,1023,335,0.6089285714285714,0.019057913300716805,291,139,Text
5,1105,165,0.6577380952380952,0.009386733416770964,167,31,Input field
6,1276,164,0.7595238095238095,0.009329844123335988,46,31,Button
7,357,2086,0.2125,0.11867106610535898,637,411,Image
8,495,3365,0.29464285714285715,0.19143247240869268,504,17,Line
9,359,4551,0.21369047619047618,0.25890317442257366,642,87,Text
10,1095,486,0.6517857142857143,0.02764819660939811,22,22,Icon
11,1246,487,0.7416666666666667,0.027705085902833087,22,22,Icon
12,357,1073,0.2125,0.06104221185572875,327,130,Text
