id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,629,91,0.3744047619047619,0.012342330123423301,421,54,Text
1,327,179,0.19464285714285715,0.0242777702427777,1029,55,Navigation Menu
2,335,183,0.19940476190476192,0.0248202902482029,1012,18,Line
3,335,219,0.19940476190476192,0.0297029702970297,1013,12,Line
4,338,432,0.2011904761904762,0.05859216058592161,665,18,Line
5,334,555,0.1988095238095238,0.0752746507527465,672,163,Text
6,1053,1233,0.6267857142857143,0.16723179167231791,304,107,Form
7,1056,1292,0.6285714285714286,0.17523396175233963,295,40,Input field
8,1048,2008,0.6238095238095238,0.27234504272345045,302,57,Input field
9,1089,2150,0.6482142857142857,0.291604502916045,68,55,Image
10,1053,2290,0.6267857142857143,0.310592703105927,295,680,List
id,x_abs,y_abs,x_rel,y_rel,width,height,label
