id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,976,86,0.580952380952381,0.03460764587525151,66,42,Text
1,881,91,0.5244047619047619,0.036619718309859155,79,34,Text
2,1059,92,0.6303571428571428,0.03702213279678068,77,28,Text
3,1155,84,0.6875,0.03380281690140845,104,41,Text
4,1282,88,0.763095238095238,0.035412474849094565,133,38,Text
5,459,765,0.2732142857142857,0.30784708249496984,376,64,Input field
6,835,765,0.49702380952380953,0.30784708249496984,369,67,Button
7,452,757,0.26904761904761904,0.30462776659959756,762,87,Form
8,412,955,0.24523809523809523,0.3843058350100604,493,57,Text
9,865,76,0.5148809523809523,0.030583501006036216,562,67,Navigation Menu
10,260,1497,0.15476190476190477,0.6024144869215292,1160,420,Image
11,709,2200,0.4220238095238095,0.8853118712273642,48,42,Icon
12,832,2196,0.49523809523809526,0.883702213279678,53,52,Icon
13,770,2198,0.4583333333333333,0.8845070422535212,52,48,Icon
14,268,2116,0.1595238095238095,0.8515090543259557,257,64,Text
15,711,584,0.4232142857142857,0.23501006036217303,479,29,Line
16,408,1040,0.24285714285714285,0.41851106639839036,569,398,List
