id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,343,410,0.20416666666666666,0.06506903666084748,41,43,Icon
1,429,413,0.25535714285714284,0.06554515156324393,41,40,Icon
2,558,415,0.33214285714285713,0.06586256149817489,40,39,Icon
3,408,0,0.24285714285714285,0,829,45,Navigation Menu
4,541,187,0.32202380952380955,0.029677828916045073,577,17,Line
5,1221,1434,0.7267857142857143,0.2275829233455007,125,52,Button
6,332,998,0.1976190476190476,0.1583875575305507,359,231,Form
7,356,1111,0.2119047619047619,0.17632121885415014,310,45,Input field
8,356,1155,0.2119047619047619,0.18330423742263133,310,42,Button
9,408,1066,0.24285714285714285,0.16917949531820345,214,23,Text
10,361,567,0.2148809523809524,0.08998571655292811,301,303,Image
11,335,2572,0.19940476190476192,0.40818917632121887,277,37,Input field
12,611,2572,0.3636904761904762,0.40818917632121887,70,39,Button
13,733,2979,0.4363095238095238,0.4727820980796699,609,97,Text
