id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,242,182,0.14404761904761904,0.008353605360995088,800,61,Navigation Menu
1,1386,198,0.825,0.009087988249873778,44,38,Icon
2,291,284,0.1732142857142857,0.013035296277596732,378,34,Text
3,1109,810,0.6601190476190476,0.03717813374948364,33,29,Icon
4,1200,808,0.7142857142857143,0.0370863358883738,35,33,Icon
5,1144,859,0.680952380952381,0.039427181346674625,192,43,Button
6,1053,952,0.6267857142857143,0.043695781888282006,367,140,Form
7,1064,988,0.6333333333333333,0.04534814338825905,337,42,Input field
8,1064,1032,0.6333333333333333,0.04736769633267545,116,52,Button
9,353,85,0.21011904761904762,0.003901409097168036,186,16,Line
10,1120,270,0.6666666666666666,0.01239271124982788,252,326,Image
