id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,367,413,0.21806298276886513,0.032392156862745096,680,65,Navigation Menu
1,1030,521,0.6120023767082591,0.040862745098039215,286,287,Image
2,859,430,0.5103980986333928,0.03372549019607843,163,33,Text
3,397,578,0.23588829471182413,0.04533333333333334,568,48,Text
4,629,636,0.37373737373737376,0.04988235294117647,347,324,Image
5,670,893,0.39809863339275103,0.07003921568627451,274,55,Text
6,1261,1219,0.7492572786690433,0.0956078431372549,81,30,Rating bar
7,394,2406,0.23410576351752824,0.18870588235294117,590,19,Line
8,1022,2411,0.6072489601901366,0.18909803921568627,297,109,Form
9,1029,2421,0.6114081996434938,0.18988235294117647,156,29,Text
10,1027,2456,0.6102198455139631,0.19262745098039216,208,37,Input field
11,1235,2458,0.7338086749851456,0.1927843137254902,67,33,Button
12,399,1166,0.23707664884135474,0.09145098039215686,262,341,Image
13,394,1523,0.23410576351752824,0.11945098039215686,583,154,Text
