id,x_abs,y_abs,x_rel,y_rel,width,height,label,filename
0,420,119,0.25,0.015635264748390488,644,63,Navigation Menu,10-best-memories-2014
1,1070,118,0.6369047619047619,0.015503875968992246,216,63,Input field,10-best-memories-2014
2,606,1408,0.3607142857142857,0.18499540139272105,811,192,Text,10-best-memories-2014
3,488,1717,0.2904761904761905,0.22559453422677705,226,226,Image,10-best-memories-2014
4,718,2122,0.4273809523809524,0.278806989883064,229,228,Image,10-best-memories-2014
5,486,5081,0.2892857142857143,0.6675863881224543,347,516,Image,10-best-memories-2014
6,263,7134,0.15654761904761905,0.9373275522270398,1150,17,Line,10-best-memories-2014
7,1277,7149,0.7601190476190476,0.9392983839180132,25,24,Icon,10-best-memories-2014
8,1330,7148,0.7916666666666666,0.9391669951386152,24,23,Icon,10-best-memories-2014
9,687,7242,0.4089285714285714,0.9515175404020496,689,233,Form,10-best-memories-2014
10,708,7268,0.4214285714285714,0.9549336486664038,645,97,Input field,10-best-memories-2014
11,705,7368,0.4196428571428572,0.9680725266062278,650,33,Input field,10-best-memories-2014
12,705,7405,0.4196428571428572,0.9729339114439628,325,29,Input field,10-best-memories-2014
13,1037,7404,0.6172619047619048,0.9728025226645644,318,28,Input field,10-best-memories-2014
14,1035,7426,0.6160714285714286,0.9756930758113256,319,42,Button,10-best-memories-2014
15,796,7472,0.4738095238095238,0.9817369596636448,92,70,Button,10-best-memories-2014
16,623,6931,0.37083333333333335,0.9106556300091972,544,122,Text,10-best-memories-2014
0,342,253,0.20357142857142854,0.016147561909624714,985,53,Navigation Menu,10-lifestyle-blogs-i-enjoy-.html
1,1126,1,0.6702380952380952,6.382435537401073e-05,200,45,Input field,10-lifestyle-blogs-i-enjoy-.html
2,1015,328,0.6041666666666666,0.02093438856267552,307,301,Image,10-lifestyle-blogs-i-enjoy-.html
3,352,2829,0.20952380952380956,0.18055910135307635,633,75,Text,10-lifestyle-blogs-i-enjoy-.html
4,355,4491,0.2113095238095238,0.2866351799846821,641,432,Image,10-lifestyle-blogs-i-enjoy-.html
5,532,270,0.31666666666666665,0.017232575950982897,67,21,Text,10-lifestyle-blogs-i-enjoy-.html
6,941,268,0.5601190476190476,0.017104927240234873,67,24,Text,10-lifestyle-blogs-i-enjoy-.html
7,1264,917,0.7523809523809524,0.05852693387796784,58,52,Icon,10-lifestyle-blogs-i-enjoy-.html
8,1068,919,0.6357142857142857,0.05865458258871585,51,52,Icon,10-lifestyle-blogs-i-enjoy-.html
9,1169,919,0.6958333333333333,0.05865458258871585,49,53,Icon,10-lifestyle-blogs-i-enjoy-.html
10,1029,1164,0.6125,0.07429154965534847,204,50,Input field,10-lifestyle-blogs-i-enjoy-.html
11,1231,1167,0.7327380952380952,0.07448302272147052,78,45,Button,10-lifestyle-blogs-i-enjoy-.html
12,1027,1162,0.6113095238095239,0.07416390094460046,282,53,Form,10-lifestyle-blogs-i-enjoy-.html
13,353,9344,0.2101190476190476,0.5963747766147562,641,18,Line,10-lifestyle-blogs-i-enjoy-.html
14,353,9840,0.2101190476190476,0.6280316568802655,645,16,Line,10-lifestyle-blogs-i-enjoy-.html
15,356,7022,0.2119047619047619,0.4481746234363033,560,831,Image,10-lifestyle-blogs-i-enjoy-.html
0,382,261,0.2273809523809524,0.047758462946020125,915,57,Navigation Menu,101books.net
1,1070,743,0.6369047619047619,0.13595608417200367,119,29,Input field,101books.net
2,1186,744,0.705952380952381,0.1361390667886551,41,27,Button,101books.net
3,1266,690,0.7535714285714286,0.1262580054894785,28,25,Icon,101books.net
4,1208,689,0.7190476190476189,0.12607502287282707,25,27,Icon,101books.net
5,1237,689,0.7363095238095239,0.12607502287282707,26,26,Icon,101books.net
6,1067,933,0.6351190476190476,0.1707227813357731,221,26,Input field,101books.net
7,1065,967,0.6339285714285714,0.17694419030192132,73,33,Button,101books.net
8,1062,926,0.6321428571428571,0.16944190301921316,238,80,Form,101books.net
9,1062,736,0.6321428571428571,0.13467520585544376,171,45,Form,101books.net
10,510,1605,0.3035714285714285,0.2936870997255261,73,27,Button,101books.net
11,509,1643,0.30297619047619045,0.30064043915828004,69,36,Button,101books.net
12,823,1603,0.4898809523809524,0.29332113449222325,46,33,Button,101books.net
13,508,1731,0.3023809523809524,0.3167429094236048,516,396,Text,101books.net
14,1062,1975,0.6321428571428571,0.3613906678865508,242,452,List,101books.net
15,734,342,0.4369047619047619,0.06258005489478499,310,294,Image,101books.net
16,749,427,0.44583333333333336,0.07813357731015554,210,124,Text,101books.net
0,246,1,0.14642857142857146,4.8058439061899264e-05,790,46,Navigation Menu,2
