id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,427,155,0.25416666666666665,0.005268703898840885,550,71,Navigation Menu
1,1025,176,0.6101190476190477,0.005982528298038682,217,37,Input field
2,445,234,0.2648809523809524,0.007954043305346884,417,68,Text
3,446,379,0.2654761904761905,0.012882830823617391,483,177,Text
4,951,747,0.5660714285714286,0.025391753628607364,291,261,Form
5,973,766,0.5791666666666667,0.026037594751691085,245,59,Input field
6,974,833,0.5797619047619048,0.02831503450151263,246,63,Input field
7,976,928,0.580952380952381,0.03154424011693124,115,28,Button
8,455,565,0.2708333333333333,0.019205275502226452,464,407,Image
9,444,1666,0.2642857142857143,0.05663006900302526,500,596,List
