id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,23,316,0.01369047619047619,0.038758739114436405,176,39,Input field
1,959,241,0.5708333333333333,0.029559671286642955,250,43,Navigation Menu
2,19,1118,0.01130952380952381,0.13712743775297437,187,275,List
3,917,1042,0.5458333333333333,0.127805715687477,322,26,Line
4,915,1069,0.5446428571428571,0.13111738010548266,324,262,List
5,916,1343,0.5452380952380952,0.16472464123635472,324,22,Line
6,919,1526,0.5470238095238096,0.18717036673617074,313,368,List
7,330,1487,0.19642857142857142,0.18238685146571815,237,245,Text
8,568,286,0.3380952380952381,0.035079111983319027,348,196,Image
9,912,287,0.5428571428571428,0.03520176622102294,348,195,Image
10,222,287,0.13214285714285715,0.03520176622102294,348,194,Image
id,x_abs,y_abs,x_rel,y_rel,width,height,label
