id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,476,266,0.2833333333333333,0.0018829059042549427,731,58,Navigation Menu
1,476,343,0.2833333333333333,0.0024279576133813736,728,31,Line
2,775,347,0.46130952380952384,0.0024562719878814475,129,22,Text
3,744,465,0.44285714285714284,0.0032915460356336404,193,16,Line
4,629,483,0.3744047619047619,0.003418960720883975,420,24,Text
5,482,536,0.2869047619047619,0.0037941261830099597,719,547,Image
6,785,383,0.46726190476190477,0.0027111013583821166,122,56,Icon
7,1552,15,0.9238095238095239,0.00010617890437527872,22,25,Icon
8,1580,13,0.9404761904761905,0.00009202171712524156,28,28,Icon
9,1612,13,0.9595238095238096,0.00009202171712524156,24,28,Icon
