id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1110,166,0.6607142857142857,0.006021255758279226,157,27,Input field
1,1279,167,0.7613095238095238,0.0060575283833291015,39,24,Button
2,1017,448,0.6053571428571428,0.016250136022343938,103,31,Button
3,1220,449,0.7261904761904762,0.01628640864739381,102,29,Button
4,1120,448,0.6666666666666666,0.016250136022343938,101,31,Button
5,1011,1030,0.6017857142857143,0.037360803801371106,264,459,List
6,499,323,0.2970238095238095,0.01171605789110958,498,11,Line
7,354,344,0.21071428571428572,0.012477783017156952,606,52,Text
8,355,804,0.2113095238095238,0.029163190540099387,640,89,Text
9,1012,599,0.6023809523809524,0.02172730240487504,308,9,Line
10,498,9018,0.29642857142857143,0.32710653269977147,500,13,Line
11,359,1186,0.21369047619047618,0.043019333309151586,633,425,Image
