id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,366,317,0.21785714285714286,0.01281273998625763,947,49,Navigation Menu
1,1084,399,0.6452380952380953,0.016127076512671274,136,34,Input field
2,1219,399,0.7255952380952381,0.016127076512671274,52,33,Button
3,1086,570,0.6464285714285715,0.023038680732387535,204,33,Input field
4,1088,616,0.6476190476190476,0.024897942686229337,57,32,Button
5,385,455,0.22916666666666666,0.018390525847783033,291,164,List
6,388,993,0.23095238095238096,0.040135806960106706,304,230,Image
7,1085,1272,0.6458333333333334,0.0514126348975385,195,256,List
8,386,1729,0.22976190476190475,0.06988399822157552,649,69,Text
9,382,3431,0.22738095238095238,0.13867669051372217,85,15,Line
10,386,3486,0.22976190476190475,0.14089972111070692,73,35,Button
11,525,3486,0.3125,0.14089972111070692,87,35,Button
12,608,3489,0.3619047619047619,0.14102097732508792,113,31,Button
13,720,3488,0.42857142857142855,0.1409805585869609,84,33,Button
14,359,108,0.21369047619047618,0.0043652237177155325,965,22,Line
