id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,690,26,0.4107142857142857,0.0028337874659400547,344,44,Navigation Menu
1,1348,3,0.8023809523809524,0.00032697547683923706,295,126,Form
2,1360,80,0.8095238095238095,0.008719346049046322,222,37,Input field
3,1581,83,0.9410714285714286,0.009046321525885559,26,29,Button
4,1509,35,0.8982142857142857,0.0038147138964577656,104,38,Button
5,1440,41,0.8571428571428571,0.00446866485013624,64,24,Text
6,50,78,0.02976190476190476,0.008501362397820164,925,44,Navigation Menu
7,281,138,0.16726190476190475,0.015040871934604905,101,79,Icon
8,809,252,0.48154761904761906,0.027465940054495912,30,32,Icon
9,280,754,0.16666666666666666,0.08217983651226159,216,278,List
10,262,1035,0.15595238095238095,0.11280653950953679,668,83,Text
11,948,2785,0.5642857142857143,0.30354223433242505,41,40,Icon
