id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1143,104,0.6803571428571429,0.03006649320612894,52,50,Button
1,1193,103,0.7101190476190476,0.029777392309916162,51,51,Icon
2,1244,103,0.7404761904761905,0.029777392309916162,49,52,Icon
3,1292,105,0.7690476190476191,0.030355594102341718,51,50,Icon
4,1237,16,0.7363095238095239,0.004625614339404453,33,34,Icon
5,1271,16,0.756547619047619,0.004625614339404453,35,34,Icon
6,1307,14,0.7779761904761905,0.004047412546978896,33,37,Icon
7,1341,15,0.7982142857142858,0.004336513443191674,34,36,Icon
8,1376,15,0.819047619047619,0.004336513443191674,36,36,Icon
9,332,113,0.1976190476190476,0.03266840127204394,105,101,Icon
10,257,300,0.1529761904761905,0.08673026886383348,264,315,List
11,685,9,0.40773809523809523,0.0026019080659150044,742,84,Navigation Menu
12,592,110,0.3523809523809524,0.03180109858340561,467,35,Text
13,522,296,0.3107142857142857,0.08557386527898236,611,15,Line
14,524,258,0.3119047619047619,0.0745880312228968,610,10,Line
15,524,416,0.3119047619047619,0.12026597282451576,614,162,Text
16,859,2837,0.5113095238095238,0.8201792425556519,25,28,Icon
17,721,2838,0.42916666666666664,0.8204683434518647,28,26,Icon
18,543,2836,0.32321428571428573,0.8198901416594392,23,29,Icon
19,1088,2839,0.6476190476190476,0.8207574443480775,23,30,Icon
20,1073,3367,0.6386904761904761,0.9734027175484244,274,49,Input field
21,1347,3367,0.8017857142857143,0.9734027175484244,40,47,Button
