id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,488,16,0.2904761904761905,0.002189681127685781,704,22,Navigation Menu
1,304,11,0.18095238095238095,0.0015054057752839742,144,32,Navigation Menu
2,309,14,0.18392857142857144,0.0019159709867250581,23,24,Icon
3,340,17,0.20238095238095238,0.002326536198166142,20,21,Icon
4,361,16,0.2148809523809524,0.002189681127685781,23,19,Icon
5,391,14,0.23273809523809524,0.0019159709867250581,23,19,Icon
6,420,15,0.25,0.0020528260572054194,17,19,Icon
7,1244,13,0.7404761904761905,0.0017791159162446968,93,25,Input field
8,1342,10,0.7988095238095239,0.0013685507048036129,33,28,Icon
9,1233,5,0.7339285714285714,0.0006842753524018064,147,35,Form
10,565,88,0.33630952380952384,0.012043246202271794,558,143,Image
11,1099,409,0.6541666666666667,0.05597372382646777,237,153,Image
12,1045,565,0.6220238095238095,0.07732311482140414,365,137,Text
13,1130,747,0.6726190476190477,0.1022307376488299,39,45,Icon
14,1169,750,0.6958333333333333,0.10264130286027097,32,41,Icon
15,1203,747,0.7160714285714286,0.1022307376488299,34,40,Icon
16,1238,747,0.736904761904762,0.1022307376488299,30,39,Icon
17,1273,749,0.7577380952380952,0.1025044477897906,36,37,Icon
18,1114,743,0.6630952380952381,0.10168331736690844,202,58,Navigation Menu
19,1134,710,0.675,0.09716710004105653,187,23,Button
20,1142,1026,0.6797619047619048,0.14041330231285068,158,41,Button
21,1061,966,0.631547619047619,0.13220199808402902,316,56,Input field
22,309,479,0.18392857142857144,0.06555357876009306,214,256,Image
23,552,475,0.32857142857142857,0.06500615847817162,216,259,Image
24,799,477,0.47559523809523807,0.06527986861913233,208,256,Image
25,308,827,0.18333333333333332,0.1131791432872588,220,255,Image
26,554,827,0.32976190476190476,0.1131791432872588,213,258,Image
27,799,822,0.47559523809523807,0.11249486793485698,210,258,Image
28,314,740,0.1869047619047619,0.10127275215546735,205,77,Text
29,554,743,0.32976190476190476,0.10168331736690844,209,65,Text
30,799,744,0.47559523809523807,0.1018201724373888,210,66,Text
31,304,1085,0.18095238095238095,0.148487751471192,222,71,Text
32,557,1094,0.33154761904761904,0.14971944710551527,212,57,Text
33,801,1096,0.4767857142857143,0.149993157246476,204,65,Text
34,312,1176,0.18571428571428572,0.16094156288490488,208,257,Image
35,555,1177,0.33035714285714285,0.16107841795538524,206,252,Image
36,800,1177,0.47619047619047616,0.16107841795538524,209,253,Image
37,313,1525,0.1863095238095238,0.20870398248255098,206,242,Image
38,555,1526,0.33035714285714285,0.20884083755303134,204,254,Image
39,806,1530,0.4797619047619048,0.2093882578349528,199,231,Image
40,313,1442,0.1863095238095238,0.19734501163268098,210,67,Text
41,556,1444,0.33095238095238094,0.1976187217736417,207,66,Text
42,801,1446,0.4767857142857143,0.19789243191460243,207,62,Text
43,312,1781,0.18571428571428572,0.24373888052552348,206,67,Text
44,557,1792,0.33154761904761904,0.24524428630080744,202,75,Text
45,808,1769,0.48095238095238096,0.24209661967975912,195,68,Text
46,1067,2826,0.6351190476190476,0.386752429177501,270,70,Input field
47,1338,2823,0.7964285714285714,0.38634186396605996,34,75,Button
48,1057,2795,0.6291666666666667,0.3825099219926098,332,119,Form
49,1068,2988,0.6357142857142857,0.4089229505953196,127,64,Input field
50,1196,2989,0.7119047619047619,0.4090598056657999,23,71,Button
51,1226,2990,0.7297619047619047,0.4091966607362803,123,67,Input field
52,1350,2991,0.8035714285714286,0.40933351580676064,26,65,Button
53,1044,2959,0.6214285714285714,0.4049541535513891,353,114,Form
54,1163,2920,0.6922619047619047,0.39961680580265496,115,19,Line
55,525,3279,0.3125,0.4487477761051047,279,58,Navigation Menu
56,309,1875,0.18392857142857144,0.25660325715067744,214,254,Image
57,554,1880,0.32976190476190476,0.25728753250307923,210,251,Image
58,799,1880,0.47559523809523807,0.25728753250307923,212,246,Image
59,310,2142,0.18452380952380953,0.2931435609689339,214,67,Text
60,555,2142,0.33035714285714285,0.2931435609689339,211,65,Text
61,801,2147,0.4767857142857143,0.2938278363213357,212,59,Text
62,299,6942,0.17797619047619048,0.9500478992746682,376,46,Navigation Menu
63,1196,6944,0.7119047619047619,0.9503216094156288,187,39,Navigation Menu
64,812,6466,0.48333333333333334,0.8849048857260161,261,76,Input field
65,1074,6464,0.6392857142857142,0.8846311755850554,213,80,Button
66,804,6447,0.4785714285714286,0.8823046393868893,489,109,Form
67,376,6422,0.22380952380952382,0.8788832626248803,114,129,Icon
68,494,6462,0.29404761904761906,0.8843574654440947,284,76,Text
69,292,6374,0.1738095238095238,0.872314219241823,1098,39,Line
