id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1,2,0.0005952380952380953,0.00008090287609724525,1256,243,Image
1,19,247,0.01130952380952381,0.009991505198009789,201,33,Text
2,96,298,0.05714285714285714,0.012054528538489543,1162,31,Navigation Menu
3,1212,242,0.7214285714285714,0.009789248007766677,48,47,Icon
4,26,424,0.015476190476190477,0.017151409732615995,170,166,Image
5,27,389,0.01607142857142857,0.015735609400914202,73,23,Text
6,220,332,0.13095238095238096,0.013429877432142712,347,199,Image
7,379,491,0.2255952380952381,0.01986165608187371,50,40,Icon
8,445,492,0.2648809523809524,0.019902107519922333,48,37,Icon
9,506,490,0.3011904761904762,0.01982120464382509,55,41,Icon
10,225,537,0.13392857142857142,0.02172242223211035,235,18,Text
11,224,565,0.13333333333333333,0.022855062497471785,298,77,Text
12,917,1025,0.5458333333333333,0.04146272399983819,326,16,Line
13,921,1322,0.5482142857142858,0.053476801100279116,316,18,Line
14,917,1444,0.5458333333333333,0.058411876542211076,326,16,Line
15,917,1465,0.5458333333333333,0.05926135674123215,326,210,Form
16,920,1631,0.5476190476190477,0.0659762954573035,89,30,Button
17,922,1590,0.5488095238095239,0.06431778649730997,302,30,Input field
18,919,1462,0.5470238095238096,0.05914000242708628,185,27,Text
19,921,1503,0.5482142857142858,0.06079851138707981,298,39,Text
20,918,1556,0.5464285714285714,0.06294243760365681,181,25,Text
21,335,1376,0.19940476190476192,0.055661178754904735,431,213,Text
22,335,1594,0.19940476190476192,0.06447959224950447,17,19,Icon
23,471,1595,0.28035714285714286,0.0645200436875531,19,17,Icon
24,489,1595,0.2910714285714286,0.0645200436875531,121,16,Text
25,350,1594,0.20833333333333334,0.06447959224950447,114,18,Text
26,331,1639,0.19702380952380952,0.06629990696169248,483,323,Image
