id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1011,298,0.6017857142857143,0.08243430152143845,35,37,Icon
1,1045,300,0.6220238095238095,0.08298755186721991,37,33,Icon
2,1116,294,0.6642857142857143,0.08132780082987552,38,42,Icon
3,1144,128,0.680952380952381,0.03540802213001383,172,41,Input field
4,358,120,0.2130952380952381,0.03319502074688797,630,51,Navigation Menu
5,354,271,0.21071428571428572,0.07496542185338866,638,85,Text
6,357,389,0.2125,0.10760719225449517,379,37,Text
7,359,475,0.21369047619047618,0.1313969571230982,110,110,Image
8,359,777,0.21369047619047618,0.2149377593360996,110,109,Image
9,1014,553,0.6035714285714285,0.1529737206085754,309,349,List
10,1006,362,0.5988095238095238,0.10013831258644537,219,150,List
11,848,3362,0.5047619047619047,0.9300138312586446,144,197,List
