id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,378,335,0.2222222222222222,0.09517045454545454,626,355,Image
1,378,706,0.2222222222222222,0.2005681818181818,556,27,Text
2,1163,76,0.6837154614932393,0.02159090909090909,162,63,Button
3,1269,3,0.746031746031746,0.0008522727272727272,56,35,Button
4,1122,2,0.6596119929453262,0.0005681818181818182,149,27,Input field
5,988,3,0.5808348030570253,0.0008522727272727272,29,31,Icon
6,1026,4,0.6031746031746031,0.0011363636363636363,31,29,Icon
7,1063,3,0.6249265138154027,0.0008522727272727272,37,30,Icon
8,384,179,0.2257495590828924,0.050852272727272725,837,71,Navigation Menu
9,675,94,0.3968253968253968,0.026704545454545453,284,39,Text
10,482,66,0.28336272780717225,0.01875,127,80,Text
11,377,844,0.22163433274544386,0.23977272727272728,197,119,Image
12,592,846,0.3480305702527925,0.24034090909090908,372,69,Text
13,752,919,0.442092886537331,0.2610795454545455,29,30,Icon
14,1017,927,0.5978835978835979,0.26335227272727274,305,117,Form
15,1225,982,0.720164609053498,0.27897727272727274,77,39,Button
16,1040,984,0.6114050558495003,0.27954545454545454,186,35,Input field
17,1040,944,0.6114050558495003,0.2681818181818182,138,27,Text
18,1018,1055,0.5984714873603763,0.2997159090909091,304,200,Form
19,1038,1072,0.6102292768959435,0.30454545454545456,89,28,Text
20,1037,1110,0.6096413874191652,0.3153409090909091,261,45,Text
21,1038,1159,0.6102292768959435,0.32926136363636366,166,41,Input field
22,1202,1160,0.7066431510875956,0.32954545454545453,98,38,Button
23,1038,1209,0.6102292768959435,0.34346590909090907,144,23,Button
24,644,3031,0.3786008230452675,0.8610795454545455,29,28,Icon
25,646,3060,0.37977660199882424,0.8693181818181818,26,31,Icon
26,675,3061,0.3968253968253968,0.8696022727272728,50,31,Button
27,677,3028,0.39800117577895355,0.8602272727272727,118,34,Button
