id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,353,194,0.21011904761904762,0.04073918521629567,970,36,Navigation Menu
1,436,265,0.25952380952380955,0.055648887022259556,453,39,Text
2,765,318,0.45535714285714285,0.06677866442671146,215,413,Text
3,1156,139,0.6880952380952381,0.029189416211675766,145,28,Input field
4,1303,142,0.7755952380952381,0.02981940361192776,19,20,Icon
5,1116,145,0.6642857142857143,0.030449391012179756,44,16,Text
6,647,873,0.38511904761904764,0.18332633347333052,35,33,Icon
7,854,873,0.5083333333333333,0.18332633347333052,33,32,Icon
8,439,872,0.2613095238095238,0.18311633767324653,36,32,Icon
9,568,824,0.3380952380952381,0.1730365392692146,197,33,Text
10,1007,561,0.5994047619047619,0.11780764384712306,306,210,Image
11,1006,1130,0.5988095238095238,0.2372952540949181,309,246,Image
12,1000,1461,0.5952380952380952,0.3068038639227215,328,347,List
13,441,1572,0.2625,0.33011339773204534,32,33,Icon
14,649,1573,0.3863095238095238,0.33032339353212936,31,31,Icon
15,853,1572,0.5077380952380952,0.33011339773204534,37,35,Icon
16,790,141,0.47023809523809523,0.029609407811843763,311,26,Input field
