id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,352,196,0.20952380952380953,0.029558136027748455,238,64,Text
1,351,262,0.20892857142857144,0.03951138591464334,745,29,Navigation Menu
2,349,294,0.20773809523809525,0.04433720404162268,980,35,Navigation Menu
3,924,215,0.55,0.03242346554064244,154,28,Input field
4,1075,216,0.6398809523809523,0.032574272357110544,39,26,Button
5,1117,214,0.6648809523809524,0.032272658724174334,73,31,Button
6,1191,214,0.7089285714285715,0.032272658724174334,137,32,Button
7,350,354,0.20833333333333334,0.05338561302970894,453,61,Text
8,351,435,0.20892857142857144,0.0656009651636254,983,18,Line
9,981,467,0.5839285714285715,0.07042678329060474,193,188,List
10,984,500,0.5857142857142857,0.07540340823405219,174,19,Line
11,985,473,0.5863095238095238,0.07133162418941336,172,23,Text
12,1024,527,0.6095238095238096,0.079475192278691,131,17,Text
13,1060,552,0.6309523809523809,0.0832453626903936,96,19,Text
14,1048,575,0.6238095238095238,0.08671391946916,108,23,Text
15,1075,603,0.6398809523809523,0.09093651033026692,79,15,Text
16,1056,625,0.6285714285714286,0.09425426029256523,99,24,Text
17,1108,766,0.6595238095238095,0.11551802141456793,42,40,Icon
18,1108,725,0.6595238095238095,0.10933494193937567,42,41,Icon
19,1028,725,0.611904761904762,0.10933494193937567,42,41,Icon
20,1029,765,0.6125,0.11536721459809983,41,42,Icon
21,978,820,0.5821428571428572,0.12366158950384558,184,619,List
22,350,462,0.20833333333333334,0.06967274920826422,598,71,Text
23,351,595,0.20892857142857144,0.0897300557985221,609,235,Text
