id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,354,271,0.21071428571428572,0.00601180176582812,512,28,Navigation Menu
1,1061,272,0.631547619047619,0.00603398553618173,212,27,Input field
2,1272,272,0.7571428571428571,0.00603398553618173,51,27,Button
3,1022,522,0.6083333333333333,0.011579928124584055,282,112,Form
4,1027,531,0.6113095238095239,0.011779582057766538,240,18,Text
5,1024,562,0.6095238095238096,0.012467278938728427,142,27,Input field
6,1023,600,0.6089285714285714,0.01331026221216558,76,32,Button
7,365,339,0.21726190476190477,0.007520298149873553,38,39,Icon
8,407,338,0.24226190476190476,0.007498114379519943,37,40,Icon
9,360,868,0.21428571428571427,0.019255512666932872,511,295,Video
10,362,455,0.2154761904761905,0.010093615510892232,514,259,Image
11,360,397,0.21428571428571427,0.008806956830382892,637,52,Text
12,361,729,0.2148809523809524,0.01617196858778118,652,80,Text
13,358,3274,0.2130952380952381,0.07262966413771685,659,21,Line
14,1021,4033,0.6077380952380952,0.08946714583610631,311,483,List
15,1024,4061,0.6095238095238096,0.09008829140600737,305,8,Line
16,1022,4035,0.6083333333333333,0.08951151337681353,308,11,Line
17,354,305,0.21071428571428572,0.0067660499578508365,476,31,Text
