id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,409,357,0.24301841948900774,0.011412313790678346,521,56,Text
1,479,422,0.2846108140225787,0.013490186049485327,416,286,Image
2,399,70,0.23707664884135474,0.0022377085864075186,767,224,Image
3,411,726,0.24420677361853832,0.02320823476759798,550,164,Text
4,1001,678,0.5947712418300654,0.021673806022632823,258,178,Image
5,999,925,0.5935828877005348,0.029569720606099355,262,265,Image
6,1000,1258,0.5941770647653001,0.04021482002429512,204,287,Image
7,999,1610,0.5935828877005348,0.05146729748737293,257,159,Form
8,1052,1658,0.6250742721330956,0.053001726232338085,150,23,Input field
9,1094,1692,0.6500297088532383,0.05408861326002174,64,31,Button
10,1000,1790,0.5941770647653001,0.05722140528099227,141,34,Button
