id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,266,224,0.15833333333333333,0.03039761161623015,1148,47,Navigation Menu
1,1206,136,0.7178571428571429,0.01845569276699688,209,52,Input field
2,1374,145,0.8178571428571428,0.019677025376577555,27,27,Icon
3,292,382,0.1738095238095238,0.05183878409553535,172,43,Text
4,296,473,0.1761904761904762,0.06418781381462885,191,130,Image
5,508,474,0.30238095238095236,0.06432351743791559,189,129,Image
6,720,475,0.42857142857142855,0.06445922106120233,188,128,Image
7,931,964,0.5541666666666667,0.13081829284841906,467,151,Form
8,943,1059,0.5613095238095238,0.14371013706065952,190,39,Input field
9,1141,1058,0.6791666666666667,0.14357443343737278,57,40,Button
10,296,1135,0.1761904761904762,0.1540236124304519,613,344,Image
11,294,860,0.175,0.11670511602659792,616,15,Line
12,295,2078,0.17559523809523808,0.2819921291898494,613,12,Line
13,296,2239,0.1761904761904762,0.3038404125390148,613,12,Line
14,932,1856,0.5547619047619048,0.2518659248201927,229,229,Image
15,1169,1854,0.6958333333333333,0.2515945175736192,231,230,Image
