id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,369,71,0.21964285714285714,0.01084963325183374,936,55,Text
1,666,136,0.3964285714285714,0.02078239608801956,347,23,Text
2,327,200,0.19464285714285715,0.030562347188264057,1026,56,Navigation Menu
3,345,276,0.20535714285714285,0.0421760391198044,990,490,Image
4,667,386,0.3970238095238095,0.058985330073349634,398,66,Text
5,593,482,0.3529761904761905,0.07365525672371638,537,64,Text
6,465,570,0.2767857142857143,0.08710268948655257,781,66,Text
7,1056,854,0.6285714285714286,0.13050122249388754,248,42,Input field
8,1146,893,0.6821428571428572,0.13646088019559902,69,37,Button
9,1050,1066,0.625,0.16289731051344744,260,210,Image
10,344,847,0.20476190476190476,0.12943154034229828,537,26,Text
11,352,893,0.20952380952380953,0.13646088019559902,318,413,Image
12,672,892,0.4,0.1363080684596577,320,413,Image
13,1049,1281,0.6244047619047619,0.1957518337408313,260,361,Text
14,1052,1676,0.6261904761904762,0.2561124694376528,182,39,Button
15,1051,1969,0.6255952380952381,0.3008863080684597,258,257,Image
16,346,2172,0.20595238095238094,0.3319070904645477,647,502,Image
