id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,538,260,0.3202380952380952,0.022277439808071287,604,38,Navigation Menu
1,536,76,0.319047619047619,0.006511867020820838,327,25,Text
2,545,263,0.3244047619047619,0.02253448719047211,48,28,Text
3,683,262,0.40654761904761905,0.022448804729671836,81,28,Text
4,889,263,0.5291666666666667,0.02253448719047211,88,30,Text
5,565,371,0.33630952380952384,0.031788192956901724,330,36,Text
6,582,427,0.3464285714285714,0.03658641076171708,537,406,Image
7,571,1007,0.3398809523809524,0.0862822380258761,404,548,List
8,568,884,0.3380952380952381,0.07574329534744238,543,121,Text
9,579,3164,0.34464285714285714,0.2710993059720675,513,219,Image
