id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,358,97,0.2130952380952381,0.01657552973342447,964,126,Navigation Menu
1,374,12,0.2226190476190476,0.002050580997949419,273,26,Text
2,375,40,0.22321428571428573,0.00683526999316473,342,22,Text
3,372,261,0.22142857142857142,0.04460013670539986,352,27,Text
4,372,286,0.22142857142857142,0.04887218045112782,640,10,Line
5,1026,555,0.6107142857142858,0.09483937115516063,268,26,Input field
6,1027,586,0.6113095238095239,0.10013670539986329,59,32,Button
7,375,332,0.22321428571428573,0.05673274094326726,294,61,Text
8,674,331,0.4011904761904762,0.05656185919343814,332,320,Image
9,726,344,0.43214285714285716,0.05878332194121668,232,35,Text
10,731,619,0.4351190476190476,0.1057758031442242,225,24,Text
11,376,403,0.22380952380952382,0.06886534518113466,293,227,Text
12,372,986,0.22142857142857142,0.1684894053315106,642,14,Line
13,375,113,0.22321428571428573,0.019309637730690363,55,23,Text
14,447,114,0.26607142857142857,0.01948051948051948,57,22,Text
15,521,116,0.3101190476190476,0.019822282980177717,71,19,Text
16,1025,1144,0.6101190476190477,0.19548872180451127,269,168,List
17,1074,29,0.6392857142857142,0.004955570745044429,195,34,Input field
18,1269,28,0.7553571428571428,0.004784688995215311,37,35,Button
19,1141,116,0.6791666666666667,0.019822282980177717,18,16,Icon
20,1213,116,0.7220238095238095,0.019822282980177717,16,16,Icon
21,1538,5801,0.9154761904761904,0.991285030758715,139,44,Button
