id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,360,349,0.21428571428571427,0.07400339270568278,177,228,List
1,1075,29,0.6398809523809523,0.006149279050042409,240,382,Navigation Menu
2,562,164,0.3345238095238095,0.03477523324851569,260,28,Text
3,559,193,0.3327380952380952,0.0409245122985581,430,34,Text
4,561,247,0.3339285714285714,0.052374893977947416,469,109,Text
5,560,369,0.3333333333333333,0.07824427480916031,472,13,Line
6,562,396,0.3345238095238095,0.08396946564885496,369,27,Text
7,562,424,0.3345238095238095,0.0899067005937235,439,37,Text
8,561,483,0.3339285714285714,0.10241730279898219,472,128,Text
9,365,779,0.21726190476190477,0.16518235793044952,165,29,Button
10,1069,812,0.6363095238095238,0.17217981340118746,245,78,Form
11,1072,846,0.638095238095238,0.17938931297709923,107,35,Button
12,1070,819,0.6369047619047619,0.1736641221374046,237,19,Input field
13,1072,1111,0.638095238095238,0.23558100084817643,239,44,Input field
14,1070,1161,0.6369047619047619,0.24618320610687022,242,197,List
15,361,30,0.2148809523809524,0.006361323155216285,328,45,Text
16,362,80,0.2154761904761905,0.016963528413910092,311,23,Text
17,561,623,0.3339285714285714,0.13210347752332485,473,14,Line
