id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,131,2,0.07797619047619048,0.00045177320984865596,1362,69,Navigation Menu
1,394,17,0.23452380952380952,0.003840072283713576,130,35,Text
2,341,962,0.20297619047619048,0.21730291393720352,610,119,Text
3,824,1095,0.49047619047619045,0.24734583239213914,133,55,Button
4,1036,764,0.6166666666666667,0.17257736616218658,330,218,Form
5,1048,775,0.6238095238095238,0.1750621188163542,306,51,Input field
6,1049,830,0.6244047619047619,0.18748588208719222,305,51,Input field
7,1050,881,0.625,0.19900609893833296,305,36,Input field
8,1050,917,0.625,0.20713801671560877,304,50,Button
9,299,1181,0.17797619047619048,0.26677208041563133,699,60,Line
10,623,1184,0.37083333333333335,0.26744974023040435,49,50,Icon
11,332,1265,0.1976190476190476,0.2857465552292749,508,43,Text
12,332,1313,0.1976190476190476,0.29658911226564266,282,270,Text
13,998,1350,0.594047619047619,0.3049469166478428,418,517,List
14,1019,1875,0.606547619047619,0.423537384233115,367,78,Input field
15,341,606,0.20297619047619048,0.13688728258414276,612,359,Image
16,613,1312,0.36488095238095236,0.2963632256607183,340,205,Image
17,612,1809,0.36428571428571427,0.40862886830810935,341,207,Image
18,3,72,0.0017857142857142857,0.016263835554551614,1674,383,Image
19,586,171,0.3488095238095238,0.03862660944206009,507,50,Text
20,776,262,0.46190476190476193,0.059182290490173935,128,126,Icon
21,756,125,0.45,0.028235825615541,168,26,Text
22,1017,116,0.6053571428571428,0.026202846171222045,40,40,Icon
