id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,303,77,0.18035714285714285,0.0004250761824846531,494,39,Text
1,685,161,0.40773809523809523,0.0008887956542860928,256,52,Navigation Menu
2,952,169,0.5666666666666667,0.0009329594135052776,32,34,Icon
3,1048,265,0.6238095238095238,0.0014629245241354943,329,157,Form
4,1052,318,0.6261904761904762,0.0017555094289625932,313,39,Input field
5,1048,380,0.6238095238095238,0.002097778562911275,85,37,Button
6,1052,522,0.6261904761904762,0.002881685289051804,323,185,Image
7,296,1009,0.1761904761904762,0.005570154131519675,687,70,Text
8,1045,1255,0.6220238095238095,0.006928189727509606,159,34,Input field
9,1050,1335,0.625,0.007369827319701453,67,39,Button
10,1048,1466,0.6238095238095238,0.008093008876915603,155,34,Input field
11,1048,1552,0.6238095238095238,0.00856776928852184,71,36,Button
12,1048,1778,0.6238095238095238,0.009815395486463808,339,196,List
13,1048,1985,0.6238095238095238,0.010958132756260213,339,407,List
14,1206,4,0.7178571428571429,0.00002208187960959237,34,37,Icon
15,1249,6,0.743452380952381,0.000033122819414388555,41,34,Icon
16,1300,5,0.7738095238095238,0.00002760234951199046,36,35,Icon
17,1341,5,0.7982142857142858,0.00002760234951199046,37,35,Icon
