id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,359,196,0.21369047619047618,0.062380649267982174,882,32,Navigation Menu
1,369,283,0.21964285714285714,0.09007001909611713,193,71,Form
2,370,283,0.22023809523809523,0.09007001909611713,161,32,Input field
3,371,313,0.22083333333333333,0.09961807765754296,61,30,Button
4,1116,593,0.6642857142857143,0.1887332908975175,190,177,Form
5,1142,685,0.6797619047619048,0.21801400381922342,147,30,Input field
6,1183,711,0.7041666666666667,0.2262889879057925,66,26,Button
7,1138,669,0.6773809523809524,0.2129217059197963,158,19,Text
8,1127,407,0.6708333333333333,0.1295353278166773,36,36,Icon
9,1173,407,0.6982142857142857,0.1295353278166773,35,37,Icon
10,1216,409,0.7238095238095238,0.13017186505410566,37,34,Icon
11,1264,410,0.7523809523809524,0.13049013367281986,33,34,Icon
12,578,933,0.34404761904761905,0.2969446212603437,245,145,Image
13,578,739,0.34404761904761905,0.23520050922978994,247,141,Image
14,574,568,0.3416666666666667,0.18077657542966263,534,162,Text
15,576,1126,0.34285714285714286,0.3583704646721833,533,13,Line
16,366,2332,0.21785714285714286,0.7422024188415022,196,633,List
17,677,248,0.4029761904761905,0.0789306174411203,327,33,Text
