id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,143,92,0.08511904761904762,0.01593349497748528,1155,37,Navigation Menu
1,1485,23,0.8839285714285714,0.00398337374437132,44,44,Icon
2,717,13,0.42678571428571427,0.0022514721163837893,86,66,Icon
3,802,14,0.4773809523809524,0.0024246622791825423,158,66,Text
4,493,143,0.29345238095238096,0.024766193280221685,692,463,Image
5,1042,477,0.6202380952380953,0.0826117076550052,140,88,Text
6,811,577,0.48273809523809524,0.0999307239348805,57,27,Text
7,1188,143,0.7071428571428572,0.024766193280221685,348,460,Image
8,1324,576,0.7880952380952381,0.09975753377208174,82,28,Text
9,1192,603,0.7095238095238096,0.10443366816764808,345,103,Text
10,493,604,0.29345238095238096,0.10460685833044683,689,105,Text
11,141,600,0.08392857142857142,0.10391409767925182,349,106,Text
12,147,861,0.0875,0.14911673016972635,1385,15,Line
13,145,835,0.08630952380952381,0.14461378593695878,107,27,Text
14,150,1699,0.08928571428571429,0.2942500865950814,1032,15,Line
15,151,2440,0.08988095238095238,0.4225839972289574,1149,658,Video
id,x_abs,y_abs,x_rel,y_rel,width,height,label
