id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,375,182,0.22281639928698752,0.017434620174346202,786,40,Navigation Menu
1,1026,254,0.6096256684491979,0.024331832551010634,284,95,Form
2,1225,297,0.7278669043374926,0.02845100105374078,65,32,Button
3,1044,297,0.6203208556149733,0.02845100105374078,179,32,Input field
4,1040,284,0.6179441473559121,0.02720567104128748,254,11,Line
5,1040,260,0.6179441473559121,0.024906600249066,118,23,Text
6,1051,408,0.6244800950683304,0.03908420346776511,54,54,Icon
7,1108,409,0.6583481877599525,0.03917999808410767,58,54,Icon
8,1171,409,0.6957813428401664,0.03917999808410767,51,53,Icon
9,1229,407,0.7302436125965538,0.03898840885142255,54,55,Icon
10,389,258,0.2311348781937017,0.024715011016380878,170,25,Text
11,482,329,0.28639334521687465,0.03151642877670275,409,310,Image
12,492,287,0.29233511586452765,0.027493054890315165,35,25,Button
13,391,662,0.23232323232323232,0.06341603601877574,595,230,Text
14,400,911,0.23767082590612001,0.08726889548807357,333,252,Image
15,747,899,0.44385026737967914,0.08611936009196283,238,318,Text
16,1036,506,0.6155674390968509,0.04847207586933614,116,26,Text
17,1036,530,0.6155674390968509,0.05077114666155762,259,9,Line
18,1037,538,0.6161616161616161,0.05153750359229811,257,71,Text
id,x_abs,y_abs,x_rel,y_rel,width,height,label
