id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,265,236,0.15773809523809523,0.024745727167872496,1151,40,Navigation Menu
1,277,318,0.16488095238095238,0.03334381881094684,306,19,Text
2,274,353,0.1630952380952381,0.037013735975673694,396,21,Text
3,344,391,0.20476190476190476,0.040998217468805706,671,453,Image
4,325,866,0.19345238095238096,0.09080423613295585,720,202,Text
5,1147,337,0.6827380952380953,0.035336059557512844,40,46,Icon
6,1190,337,0.7083333333333334,0.035336059557512844,41,45,Icon
7,1234,336,0.7345238095238096,0.03523120478137779,41,50,Icon
8,374,173,0.2226190476190476,0.01813987627136416,924,24,Text
9,390,124,0.23214285714285715,0.013001992240746565,872,45,Text
10,1142,407,0.6797619047619048,0.04267589388696655,287,733,List
11,1144,448,0.680952380952381,0.04697493970850372,80,79,Image
12,1146,544,0.6821428571428572,0.0570409982174688,79,79,Image
13,1145,643,0.6815476190476191,0.06742162105483905,79,75,Image
14,1146,739,0.6821428571428572,0.07748767956380413,77,75,Image
15,1145,820,0.6815476190476191,0.08598091643074342,79,75,Image
16,1146,898,0.6821428571428572,0.09415958896927755,76,80,Image
17,1146,980,0.6821428571428572,0.1027576806123519,79,78,Image
18,1145,1060,0.6815476190476191,0.11114606270315613,80,80,Image
19,1226,451,0.7297619047619047,0.04728950403690888,184,70,Text
20,1228,547,0.7309523809523809,0.05735556254587396,186,69,Text
21,1225,641,0.7291666666666666,0.06721191150256894,193,76,Text
22,1225,739,0.7291666666666666,0.07748767956380413,184,60,Text
23,1226,821,0.7297619047619047,0.08608577120687848,194,59,Text
24,1222,901,0.7273809523809524,0.0944741532976827,190,66,Text
25,1225,982,0.7291666666666666,0.102967390164622,199,64,Text
26,1223,1063,0.7279761904761904,0.11146062703156129,198,65,Text
27,262,1479,0.15595238095238095,0.15508021390374332,28,24,Button
28,443,1476,0.2636904761904762,0.15476564957533814,38,28,Button
29,354,1477,0.21071428571428572,0.1548705043514732,29,28,Button
30,301,1475,0.17916666666666667,0.1546607947992031,28,31,Button
31,409,1475,0.24345238095238095,0.1546607947992031,28,33,Button
32,1140,2798,0.6785714285714286,0.29338366362587814,295,105,Form
33,1149,2840,0.6839285714285714,0.2977875642235504,194,34,Input field
34,1342,2841,0.7988095238095239,0.29789241899968544,67,32,Button
35,1145,2806,0.6815476190476191,0.29422250183495857,137,21,Text
