id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,829,3,0.493452380952381,0.0007560483870967742,580,29,Navigation Menu
1,292,514,0.1738095238095238,0.12953629032258066,1094,58,Navigation Menu
2,325,115,0.19345238095238096,0.028981854838709676,188,194,Icon
3,1065,696,0.6339285714285714,0.17540322580645162,293,45,Input field
4,1063,746,0.6327380952380952,0.18800403225806453,101,42,Button
5,552,1015,0.32857142857142857,0.25579637096774194,52,29,Button
6,1057,1126,0.6291666666666667,0.28377016129032256,309,214,Image
7,623,643,0.37083333333333335,0.16204637096774194,307,212,Image
8,295,99,0.17559523809523808,0.024949596774193547,1089,408,Image
9,528,118,0.3142857142857143,0.029737903225806453,353,64,Text
10,528,177,0.3142857142857143,0.04460685483870968,382,35,Text
11,1124,1941,0.669047619047619,0.4891633064516129,175,60,Button
12,1124,2227,0.669047619047619,0.5612399193548387,176,59,Button
