id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,359,199,0.21369047619047618,0.008556563615255622,962,53,Navigation Menu
1,355,281,0.2113095238095238,0.01208238379842628,319,25,Text
2,355,265,0.2113095238095238,0.011394418884636883,962,16,Line
3,357,331,0.2125,0.014232274154018145,634,427,Image
4,356,755,0.2119047619047619,0.03246334436943716,968,270,Text
5,1135,1055,0.6755952380952381,0.045362686502988345,62,24,Button
6,1195,1056,0.7113095238095238,0.04540568431010018,47,21,Button
7,355,1037,0.2113095238095238,0.04458872597497528,967,16,Line
8,354,1104,0.21071428571428572,0.047469579051468376,166,46,Text
9,356,1152,0.2119047619047619,0.04953347379283657,636,592,Image
10,353,1741,0.21011904761904762,0.07485918218170873,970,68,Text
11,357,1820,0.2125,0.07825600894354388,968,18,Line
12,1134,1837,0.675,0.07898697166444511,63,27,Button
13,1195,1837,0.7113095238095238,0.07898697166444511,48,26,Button
14,710,154,0.4226190476190476,0.006621662295222944,257,20,Text
15,579,71,0.34464285714285714,0.003052844304940448,534,81,Text
16,340,1,0.20238095238095238,0.00004299780711183729,623,46,Navigation Menu
17,972,5,0.5785714285714286,0.0002149890355591865,160,36,Input field
18,1102,9,0.655952380952381,0.0003869802640065357,25,28,Icon
id,x_abs,y_abs,x_rel,y_rel,width,height,label
