id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,453,111,0.26964285714285713,0.0023732654850227705,727,62,Text
1,538,201,0.3202380952380952,0.004297534797203395,528,45,Navigation Menu
2,1231,335,0.7327380952380952,0.007162557995338992,39,40,Icon
3,1275,335,0.7589285714285714,0.007162557995338992,33,40,Icon
4,1316,334,0.7833333333333333,0.007141177225203652,37,43,Icon
5,1147,336,0.6827380952380953,0.007183938765474332,37,37,Icon
6,1191,337,0.7089285714285715,0.007205319535609673,33,37,Icon
7,1105,336,0.6577380952380952,0.007183938765474332,33,34,Icon
8,1101,448,0.6553571428571429,0.009578585020632443,201,38,Input field
9,1303,446,0.7755952380952381,0.009535823480361763,70,39,Button
10,1200,421,0.7142857142857143,0.009001304226978256,71,20,Text
11,1082,808,0.6440476190476191,0.017275662269354942,307,106,Form
12,1158,832,0.6892857142857143,0.01778880075260311,157,21,Text
13,1099,857,0.6541666666666667,0.018323320005986615,204,36,Input field
14,1304,857,0.7761904761904762,0.018323320005986615,67,36,Button
15,1084,940,0.6452380952380953,0.02009792392721986,303,304,Image
16,1082,1270,0.6440476190476191,0.02715357807188215,308,281,Image
17,1087,1577,0.6470238095238096,0.03371747450343161,308,308,Image
18,290,1552,0.17261904761904762,0.03318295525004811,743,117,Text
19,288,1684,0.17142857142857143,0.03600521690791302,745,109,Text
20,290,362,0.17261904761904762,0.00773983878899318,417,27,Text
21,288,327,0.17142857142857143,0.00699151183425627,170,28,Text
22,291,400,0.1732142857142857,0.00855230805413611,758,1088,Image
