id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,355,330,0.2113095238095238,0.09243697478991597,537,52,Navigation Menu
1,1106,330,0.6583333333333333,0.09243697478991597,220,41,Input field
2,1292,337,0.7690476190476191,0.09439775910364145,24,24,Icon
3,1004,395,0.5976190476190476,0.11064425770308123,313,193,List
4,372,388,0.22142857142857142,0.10868347338935574,596,43,Text
5,372,430,0.22142857142857142,0.12044817927170869,413,16,Text
6,371,465,0.22083333333333333,0.13025210084033614,597,94,Text
7,584,74,0.3476190476190476,0.02072829131652661,716,166,Text
8,593,257,0.3529761904761905,0.07198879551820728,714,35,Text
9,1002,970,0.5964285714285714,0.27170868347338933,321,144,List
10,372,615,0.22142857142857142,0.1722689075630252,607,11,Line
11,371,903,0.22083333333333333,0.2529411764705882,612,13,Line
