id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,674,102,0.4011904761904762,0.024799416484318017,98,94,Icon
1,778,125,0.4630952380952381,0.030391441769997567,230,62,Text
2,270,0,0.16071428571428573,0,618,65,Navigation Menu
3,264,272,0.15714285714285714,0.0661317772915147,372,60,Input field
4,267,464,0.15892857142857142,0.11281303185023098,109,28,Button
5,658,272,0.39166666666666666,0.0661317772915147,438,46,Text
6,656,328,0.3904761904761905,0.07974714320447363,190,21,Text
7,829,380,0.493452380952381,0.09238998298079261,581,107,Text
8,657,376,0.39107142857142857,0.09141745684415269,157,159,Image
9,655,614,0.3898809523809524,0.14928276197422805,651,53,Text
10,655,667,0.3898809523809524,0.16216873328470702,188,27,Text
11,828,714,0.4928571428571429,0.17359591539022612,586,118,Text
12,262,981,0.15595238095238095,0.23851203501094093,374,567,List
13,265,226,0.15773809523809523,0.054947726720155604,1149,17,Line
14,266,427,0.15833333333333333,0.1038171650863117,24,23,Icon
15,289,431,0.17202380952380952,0.10478969122295162,62,19,Text
id,x_abs,y_abs,x_rel,y_rel,width,height,label
