id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1116,0,0.6642857142857143,0,336,36,Navigation Menu
1,495,261,0.29464285714285715,0.059023066485753055,500,58,Navigation Menu
2,1002,276,0.5964285714285714,0.06241519674355495,24,27,Icon
3,1035,278,0.6160714285714286,0.06286748077792854,27,25,Icon
4,687,966,0.4089285714285714,0.21845318860244234,434,291,Image
5,237,966,0.14107142857142857,0.21845318860244234,435,293,Image
6,257,1278,0.1529761904761905,0.28900949796472186,395,220,Text
7,705,1276,0.41964285714285715,0.2885572139303483,400,223,Text
8,234,335,0.1392857142857143,0.07575757575757576,1212,509,Image
9,609,518,0.3625,0.11714156490275893,473,132,Text
10,1138,3023,0.6773809523809524,0.6836273179556762,305,74,Input field
