id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,245,1,0.14583333333333334,0.00004970920117313715,790,43,Navigation Menu
1,1203,15,0.7160714285714286,0.0007456380175970572,18,20,Icon
2,1326,13,0.7892857142857143,0.0006462196152507829,19,24,Icon
3,1250,13,0.7440476190476191,0.0006462196152507829,19,21,Icon
4,1397,14,0.8315476190476191,0.0006959288164239201,24,25,Icon
5,554,84,0.32976190476190476,0.004175572898543521,559,122,Text
6,428,314,0.25476190476190474,0.015608689168365065,448,41,Text
7,252,408,0.15,0.020281354078639957,799,797,Image
8,293,1092,0.1744047619047619,0.054282447681065764,130,40,Text
9,280,1237,0.16666666666666666,0.06149028185117065,734,90,Text
10,280,1339,0.16666666666666666,0.06656062037083064,174,51,Button
11,444,1515,0.2642857142857143,0.07530943977730278,415,38,Text
12,498,1557,0.29642857142857143,0.07739722622657454,316,24,Text
13,510,358,0.30357142857142855,0.017795894019983098,287,23,Text
14,1128,2511,0.6714285714285714,0.12481980414574738,269,297,List
