id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,372,429,0.22142857142857142,0.04659498207885305,492,57,Text
1,609,109,0.3625,0.011838818290431194,685,39,Navigation Menu
2,504,8,0.3,0.0008689040947105464,613,72,Text
3,939,413,0.5589285714285714,0.04485717388943195,358,159,Form
4,1082,509,0.6440476190476191,0.05528402302595851,71,36,Button
5,1057,464,0.6291666666666667,0.05039643749321169,218,31,Input field
6,964,469,0.5738095238095238,0.05093950255240578,94,24,Text
7,945,419,0.5625,0.04550885196046486,346,27,Text
8,946,600,0.5630952380952381,0.06516780710329098,36,34,Icon
9,1029,598,0.6125,0.06495058107961334,35,37,Icon
10,1154,599,0.6869047619047619,0.06505919409145215,40,34,Icon
11,1028,660,0.611904761904762,0.07168458781362007,180,36,Button
12,944,745,0.5619047619047619,0.08091669381991963,338,27,Input field
13,543,524,0.32321428571428573,0.05691321820354078,377,164,Text
14,371,684,0.22083333333333333,0.07429130009775171,548,519,Text
15,374,521,0.2226190476190476,0.05658737916802433,163,160,Image
16,484,1215,0.28809523809523807,0.13196480938416422,330,248,Image
17,573,1466,0.3410714285714286,0.15922667535570761,153,19,Text
