id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1072,107,0.638095238095238,0.02090252002344208,317,55,Input field
1,374,216,0.2226190476190476,0.04219574135573354,923,64,Navigation Menu
2,324,385,0.19285714285714287,0.07521000195350655,646,437,Image
3,261,340,0.15535714285714286,0.06641922250439539,710,9,Line
4,260,288,0.15476190476190477,0.05626098847431139,503,50,Text
5,1108,568,0.6595238095238095,0.11095917171322524,36,39,Icon
6,1240,569,0.7380952380952381,0.11115452236764993,36,37,Icon
7,1373,569,0.8172619047619047,0.11115452236764993,35,37,Icon
8,1328,569,0.7904761904761904,0.11115452236764993,36,38,Icon
9,262,843,0.15595238095238095,0.16468060168001564,707,108,Text
10,1117,1107,0.6648809523809524,0.2162531744481344,276,115,Form
11,1119,1128,0.6660714285714285,0.22035553819105294,259,26,Input field
12,1120,1164,0.6666666666666666,0.22738816175034188,123,49,Button
13,1096,1921,0.6523809523809524,0.37526860714983395,323,661,List
14,489,73,0.2910714285714286,0.01426059777300254,384,108,Text
