id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,44,8,0.02619047619047619,0.0021321961620469083,632,46,Navigation Menu
1,46,52,0.02738095238095238,0.013859275053304905,662,224,Image
2,740,29,0.44047619047619047,0.007729211087420042,93,30,Input field
3,838,29,0.4988095238095238,0.007729211087420042,59,34,Button
4,54,321,0.03214285714285714,0.0855543710021322,252,22,Text
5,55,342,0.03273809523809524,0.09115138592750532,542,16,Text
6,52,369,0.030952380952380953,0.09834754797441364,632,127,Text
7,57,535,0.033928571428571426,0.142590618336887,22,22,Icon
8,727,1034,0.43273809523809526,0.2755863539445629,189,505,List
9,193,85,0.11488095238095238,0.0226545842217484,235,38,Text
10,194,121,0.11547619047619048,0.03224946695095949,352,23,Text
