id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,285,141,0.16964285714285715,0.01728364795292964,1111,63,Navigation Menu
1,498,44,0.29642857142857143,0.005393478793822015,699,68,Text
2,397,233,0.2363095238095238,0.02856092179455749,39,41,Icon
3,443,232,0.2636904761904762,0.028438342731061536,38,41,Icon
4,533,232,0.31726190476190474,0.028438342731061536,40,42,Icon
5,578,234,0.34404761904761905,0.028683500858053445,40,40,Icon
6,377,320,0.2244047619047619,0.03922530031870557,305,40,Input field
7,654,329,0.3892857142857143,0.04032851189016916,23,20,Icon
8,677,250,0.4029761904761905,0.030644765873988723,652,72,Text
9,676,339,0.4023809523809524,0.041554302525128706,306,17,Text
10,677,365,0.4029761904761905,0.04474135817602354,686,516,Image
11,679,915,0.4041666666666667,0.11215984309879873,440,124,List
12,680,1068,0.40476190476190477,0.1309144398136798,688,215,Text
13,679,1363,0.4041666666666667,0.16707526354498653,118,28,Button
14,679,1417,0.4041666666666667,0.17369453297376808,52,25,Button
15,398,1209,0.2369047619047619,0.14819808776660948,274,229,Icon
16,377,1533,0.2244047619047619,0.18791370433929885,305,148,Form
17,481,1547,0.2863095238095238,0.1896298112282422,96,22,Text
18,376,1602,0.22380952380952382,0.19637165972051973,294,33,Input field
19,375,1581,0.22321428571428573,0.1937974993871047,134,18,Text
20,377,1636,0.2244047619047619,0.2005393478793822,305,34,Button
